Altitude,	ft,	0,	3000,	6000,	9000,	12000,	15000,	18000,	21000,	24000,	27000,	30000,	33000,	36000,	39000,	42000
Vclimb,	Knot,	210,	210,	220,	230,	250,	260,	280,	290,	290,	290,	290,	300,	300,	300,	300
Vdesc,	Knot,	180,	200,	250,	250,	270,	290,	300,	300,	300,	300,	300,	300,	300,	300,	300
Rdesc,	ft/s,	-15,	-21,	-21,	-24,	-24,	-28,	-28,	-30,	-30,	-30,	-30,	-30,	-30,	-30,	-30
